Designator,Footprint,Quantity,Value,LCSC Part #
B1,Battery_Charger_Board,1,~,
"C1, C4",0402,2,0.1uF,C1525
"C2, C5, C6",0603,3,10uF,C1691
C3,0603,1,4.7uF,C1705
C7,0603,1,1uF,C1592
D1,ChessLink_Schottky_Diode,1,D,C8678
J1,ESP,1,~,
J2,Pin header spacing,1,Power OUT,
J3,PinHeader_1x02_P2.54mm_Vertical,1,SR_QH_Return,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Signals OUT,
L1,ChessLink_10uH_Inductor,1,10uH,C181721
L2,ChessLink_2.2uH_Inductor,1,2.2uH,C133191
"R1, R2, R3, R4, R5",1206,5,10kR,C17902
R10,0805,1,2kR,C1359
R11,0402,1,450kR,C5159688
"R14, R9",0603,2,100kR,C1996
R6,0402,1,499kR,C25793
R7,1206,1,27kR,C1498
R8,1206,1,1kR,C1469
"SW1, SW2, SW3, SW4",SW_TH_Tactile_Omron_B3F-100x,4,SW_Push,
SW5,Switch,1,SW_SPDT,
U1,TLV62568DBVR,1,TLV62568DBVR,C163219
U2,DIP-14_W7.62mm_LongPads,1,SN74AHCT125N,
U4,TLV61048DBVR,1,TLV61048DBVR,C2861467
