Designator,Mid X,Mid Y,Rotation,Layer
B1,116.616919,-51.2,180.0,top
C1,122.016919,-122.84,90.0,top
C2,77.316919,-33.19,180.0,top
C3,101.062741,-50.750038,270.0,top
C4,121.516919,-84.74,180.0,top
C5,121.436919,-83.5,180.0,top
C6,92.562741,-49.370038,270.0,top
C7,87.516919,-41.345,90.0,top
D1,81.016919,-35.59,270.0,top
J1,104.116919,-102.62,180.0,top
J2,77.046919,-46.265,180.0,top
J3,78.116919,-109.27,0.0,top
J4,77.716919,-81.47,180.0,top
L1,91.366906,-39.440038,90.0,top
L2,89.262741,-51.350038,90.0,top
R1,123.754419,-120.44,0.0,top
R10,85.516919,-111.84,270.0,top
R11,93.962741,-49.300038,270.0,top
R14,93.962741,-51.205038,270.0,top
R2,120.016919,-146.6,0.0,top
R3,81.816919,-148.4,180.0,top
R4,81.754419,-159.1,180.0,top
R5,110.116919,-159.0,0.0,top
R6,77.816919,-37.065,270.0,top
R7,77.916919,-41.39,270.0,top
R8,84.054419,-107.84,180.0,top
R9,80.716919,-41.22,90.0,top
SW1,86.516919,-153.6,0.0,top
SW2,86.566919,-164.25,0.0,top
SW3,118.163779,-153.55,0.0,top
SW4,105.413779,-164.25,0.0,top
SW5,103.416919,-39.34,0.0,top
U1,97.917021,-51.3,180.0,top
U2,81.106919,-126.44,0.0,top
U4,84.216919,-41.89,90.0,top
